company_id,worker_id,company_worker_id,industry_group,company_size,current_position,manager_authority,job_field,training_general,training_manager,training_job_related,training_other_field,ojt_participation,ojt_effect,offjt_participation,offjt_effect,training_days_group,training_sufficient,training_equal_opportunity,training_job_relevance,training_field_applicable,skill_level_entry,skill_level_current,has_job_certificate,work_autonomy,team_trust,free_opinion_to_supervisor,fair_evaluation_reward,work_content_satisfaction,wage_satisfaction,relationship_satisfaction,overall_job_satisfaction,turnover_intention,organizational_loyalty,fatigue,job_tension,regular_employee,union_member,regular_work_hours,overtime_hours,annual_income_10k_krw,monthly_income_10k_krw,gender,birth_year,marital_status,education_level,major_field
5,418,5418,2,3,3,2,25,1,2,2,1,2,,1,1,2,2,4,2,2,2,5,2,2,2,2,2,3,3,4,3,4,1,4,2,1,1,41,5,11500,,1,1991,1,5,1
5,419,5419,2,3,3,2,10,1,2,1,1,1,3,1,3,4,3,3,3,3,4,4,2,3,3,3,4,3,3,3,3,3,4,4,3,1,1,40,7,8000,,1,1988,2,5,1
5,420,5420,2,3,3,2,21,1,2,1,1,1,4,1,4,11,3,3,2,3,2,7,1,2,4,4,3,4,4,4,4,2,3,3,3,1,1,40,2,11000,,1,1991,2,5,4
5,421,5421,2,3,4,2,10,1,2,1,2,1,4,2,,2,4,3,3,3,4,6,1,4,4,5,5,4,4,4,4,2,4,2,4,1,1,40,0,,,1,1984,2,5,2
5,422,5422,2,3,1,2,17,1,2,1,1,1,5,1,5,5,5,5,5,5,3,5,1,5,4,4,4,4,4,5,4,3,4,2,2,1,2,40,0,5500,,1,1995,1,5,4
5,423,5423,2,3,4,2,23,1,2,1,2,1,4,1,4,1,3,3,3,4,1,4,1,3,4,4,3,3,3,3,3,3,3,3,3,1,1,40,0,,,2,1983,2,5,2
5,424,5424,2,3,3,2,25,1,2,1,1,1,2,1,4,2,2,3,3,2,2,3,2,2,2,3,2,4,2,4,4,1,3,3,3,1,1,40,5,6900,,2,1980,2,4,1
5,425,5425,2,3,5,2,21,1,2,2,1,2,,1,4,5,4,4,3,3,4,6,1,4,3,4,3,4,3,4,4,4,3,4,3,1,2,40,4,,,2,1984,2,5,4
5,426,5426,2,3,2,2,5,1,2,1,1,1,4,1,4,12,4,4,5,4,1,4,1,4,4,4,3,4,4,4,3,4,2,4,4,1,1,42,1.5,8700,,2,1990,1,4,2
5,427,5427,2,3,1,2,13,1,2,1,2,1,4,1,2,2,3,2,2,2,2,4,1,4,4,2,2,3,2,4,3,4,4,2,4,1,2,40,0,5400,,2,1996,1,5,3
5,428,5428,2,3,5,2,12,1,2,1,2,1,4,2,,2,4,4,4,4,2,5,2,4,4,4,4,4,4,4,3,3,3,3,3,1,1,40,0,,,2,,2,5,8
5,429,5429,2,3,3,2,10,1,2,1,1,1,4,1,4,13,5,4,4,4,3,6,1,5,4,4,3,4,4,4,4,2,4,2,3,1,1,40,1,8000,,1,1990,2,6,3
5,430,5430,2,3,6,2,10,1,2,1,1,1,4,1,4,13,4,3,3,3,2,5,2,4,4,4,4,4,4,4,3,3,4,3,3,1,2,40,4,,,2,1978,1,5,1
5,431,5431,2,3,4,2,12,1,2,1,2,1,2,2,,1,3,2,4,3,2,4,2,4,3,3,3,3,3,3,3,2,3,4,4,1,2,40,0,,,2,1985,1,5,1
5,432,5432,2,3,4,2,10,1,2,1,1,1,4,1,4,3,4,4,3,4,1,7,2,5,5,4,4,5,4,5,5,2,5,1,1,1,1,40,0,10000,,1,1986,2,5,2
5,433,5433,2,3,1,2,21,1,2,2,2,2,,2,,6,3,5,4,5,3,3,1,4,4,4,4,4,4,4,4,2,4,2,4,1,2,40,4,,400,1,1995,1,5,2
5,434,5434,2,3,3,2,3,1,2,1,1,1,4,1,4,2,3,3,3,3,3,4,1,3,3,4,3,3,3,4,3,3,3,3,3,1,1,40,3,10000,,1,1989,2,5,2
5,435,5435,2,3,3,2,5,1,2,2,1,2,,1,2,3,3,4,3,3,2,4,2,4,3,3,3,3,3,4,3,4,3,3,3,1,1,40,1,7385,,2,1984,2,5,1
5,436,5436,2,3,5,1,5,1,1,1,1,1,2,1,2,7,4,4,4,4,2,4,1,4,4,3,3,4,4,4,3,3,3,3,3,1,1,40,0,,,2,1983,2,5,1
5,437,5437,2,3,1,2,11,1,2,1,2,1,4,1,4,2,3,4,4,3,2,2,1,4,3,4,4,4,4,4,4,2,4,2,3,1,2,40,2,5800,,1,1995,1,5,2
5,438,5438,2,3,5,2,12,1,2,1,1,1,4,1,4,3,3,3,3,3,5,5,2,3,4,3,3,3,3,4,3,4,3,3,4,1,1,40,12,,,2,1980,2,5,1
5,439,5439,2,3,2,2,23,1,2,1,2,1,4,1,4,1,3,3,3,4,1,4,2,3,4,4,3,3,3,3,3,3,3,3,3,1,1,40,0,5300,,2,1991,1,4,1
5,440,5440,2,3,5,2,25,1,2,1,1,1,4,1,5,2,4,4,3,3,2,5,2,5,5,5,5,5,5,5,5,1,3,4,5,1,1,40,0,,,2,1980,2,5,2
5,441,5441,2,3,1,2,21,1,2,1,2,1,2,1,3,2,3,3,2,3,3,4,1,2,3,4,3,4,2,4,4,4,4,3,3,1,2,40,4,5700,,1,1993,1,5,4
5,442,5442,2,3,4,2,12,1,1,1,1,1,5,1,5,3,4,4,4,4,1,4,1,4,4,4,3,5,5,5,5,2,4,3,4,1,1,40,0,10000,,2,1978,2,4,1
5,443,5443,2,3,4,2,10,1,2,1,1,1,5,1,5,5,4,4,4,3,2,5,2,4,4,5,4,4,4,4,4,2,4,3,3,1,1,40,3,9700,,1,1989,2,5,1
5,444,5444,2,3,4,2,10,1,2,1,1,1,4,1,3,2,4,4,3,3,2,6,2,4,4,4,4,4,4,4,4,4,4,4,3,1,1,40,0,,,2,1980,1,5,2
5,445,5445,2,3,6,1,3,2,2,2,2,2,,2,,1,3,3,3,3,4,6,2,3,4,4,4,4,4,4,4,2,4,2,3,1,2,40,10,10000,,1,1970,2,5,3
5,446,5446,2,3,5,2,21,1,1,1,1,1,3,1,1,3,4,4,3,2,2,3,1,4,4,4,2,3,3,4,2,5,1,5,3,1,2,40,2,13000,,2,1983,1,5,4
5,447,5447,2,3,4,2,3,1,2,1,1,1,1,1,1,4,3,2,2,2,1,7,2,4,4,4,3,4,4,4,4,2,4,2,2,1,1,40,2,7000,,1,1984,2,5,1
5,448,5448,2,3,1,2,17,1,2,1,1,1,4,1,2,13,3,5,4,3,2,4,1,4,4,4,4,4,4,4,4,3,4,4,5,1,2,40,8,6000,,2,1993,1,5,2
9,8,908,3,3,7,1,11,1,2,1,2,1,3,1,4,2,2,3,2,2,2,6,1,3,3,4,3,5,4,5,5,2,4,3,3,1,2,40,5,7700,,1,1969,2,6,2
9,26,926,3,3,7,1,1,1,2,1,1,1,4,1,4,5,3,4,4,4,5,6,2,4,4,4,4,3,2,4,3,2,3,4,5,1,2,40,10,7000,,1,1971,2,7,3
